date,time,program,excercise,superset,set,reps,seconds,isrest,kg,lb,kmh,mph,seckm,secmiles,rpe,rpm,resistance,equipmentprogram,degrees,onesided,diameter,setting,chestpad,attachment
02/12/2015,21:55:33,Shoulder Relax,Reverse Crunch,,1,40,,,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,2,,45,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Reverse Crunch,,3,50,,,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Crunch,,1,50,,,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,2,,60,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Crunch,,3,30,,,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,4,,60,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Crunch,,5,30,,,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,6,,60,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Dumbbell Side Bend,,1,50,,,9.07,20,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,2,,30,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Dumbbell Side Bend,,3,50,,,9.07,20,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,4,,30,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Dumbbell Side Bend,,5,40,,,9.07,20,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,6,,30,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Dumbbell Side Bend,,7,40,,,9.07,20,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,8,,30,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Seated Flye Machine,,1,12,,,15.88,35,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,2,,45,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Seated Flye Machine,,3,12,,,18.14,40,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,4,,45,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Seated Flye Machine,,5,12,,,18.14,40,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,6,,45,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Seated Flye Machine,,7,12,,,18.14,40,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,8,,45,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Seated Flye Machine,,9,12,,,20.41,45,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Bench Press,,1,12,,,45.36,100,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,2,,45,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Bench Press,,3,12,,,49.9,110,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,4,,45,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Bench Press,,5,12,,,49.9,110,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,6,,45,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Bench Press,,7,12,,,49.9,110,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,8,,45,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Bench Press,,9,10,,,49.9,110,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Dumbbell Bench Press,,1,12,,,27.22,60,,,,,,,,,0,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,2,,45,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Dumbbell Bench Press,,3,12,,,27.22,60,,,,,,,,,0,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,4,,45,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Dumbbell Bench Press,,5,12,,,27.22,60,,,,,,,,,0,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,6,,45,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Dumbbell Bench Press,,7,12,,,31.75,70,,,,,,,,,0,,,,,
02/12/2015,21:55:33,Shoulder Relax,,,8,,45,rest,,,,,,,,,,,,,,,,
02/12/2015,21:55:33,Shoulder Relax,Dumbbell Bench Press,,9,12,,,31.75,70,,,,,,,,,0,,,,,
02/12/2015,21:55:33,Shoulder Relax,Lat Pull-Down,,1,12,,,18.14,40,,,,,,,,,,,,,,latbar
02/12/2015,21:55:33,Shoulder Relax,,,2,,60,rest,,,,,,,,,,,,,,,,latbar
02/12/2015,21:55:33,Shoulder Relax,Lat Pull-Down,,3,12,,,18.14,40,,,,,,,,,,,,,,latbar
02/12/2015,21:55:33,Shoulder Relax,,,4,,60,rest,,,,,,,,,,,,,,,,latbar
